Date,Month,Dhaka,Daily Case inside Dhaka City,Dhaka (Except Dhk City),Mymensing,Chittagong,Khulna,Rajshahi,Rangpur,Barisal,Sylhet,Cumulative Case inside Dhaka City,Daily Case inside Ctg without med,Cumulative Case inside Ctg without med,Daily Case inside Ctg Med,Cumulative Case inside Ctg Med,Daily Case inside Ctg city,Cumulative Case inside Ctg city,Daily Case outside Dhaka City,Cumulative Case outside Dhaka City,Daily Deaths inside Dhaka City,Cumulative Death inside Dhaka City,Daily Deaths inside Ctg without med,Cumulative Death inside Ctg without med,Daily Deaths inside Ctg Med,Cumulative Deaths inside Ctg Med,Daily Deaths inside Ctg city,Cumulative Deaths inside Ctg city,Daily Deaths outside Dhaka City,Cumulative Death outside Dhaka City
1/1/2023,January,21,21,0,3,4,6,1,0,6,0,21,2,2,1,1,3,3,20,20,0,0,0,0,0,0,0,0,0,0
1/2/2023,January,25,22,3,1,8,0,1,0,3,0,43,3,5,1,2,4,7,16,36,0,0,0,0,0,0,0,0,0,0
1/3/2023,January,23,17,6,0,16,4,0,0,5,0,60,11,16,2,4,13,20,31,67,0,0,0,0,0,0,0,0,0,0
1/4/2023,January,27,19,8,0,15,2,0,1,4,0,79,2,18,5,9,7,27,30,97,0,0,0,0,0,0,0,0,0,0
1/5/2023,January,25,25,0,0,4,0,0,1,1,0,104,2,20,1,10,3,30,6,103,0,0,0,0,0,0,0,0,0,0
1/6/2023,January,3,3,0,0,2,0,0,0,1,0,107,1,21,0,10,1,31,5,108,0,0,0,0,0,0,0,0,0,0
1/7/2023,January,14,14,0,0,12,0,0,0,1,0,121,3,24,4,14,7,38,13,121,0,0,0,0,0,0,0,0,0,0
1/8/2023,January,7,7,0,0,8,1,0,0,10,1,128,3,27,3,17,6,44,20,141,0,0,0,0,0,0,0,0,0,0
1/9/2023,January,12,9,3,0,4,2,0,0,2,0,137,0,27,1,18,1,45,11,152,0,0,0,0,1,1,1,1,1,1
1/10/2023,January,18,15,3,0,13,1,0,0,0,0,152,4,31,1,19,5,50,17,169,0,0,0,0,0,1,0,1,0,1
1/11/2023,January,14,14,0,0,6,1,0,0,2,0,166,0,31,2,21,2,52,7,176,0,0,0,0,0,1,0,1,0,1
1/12/2023,January,16,7,9,0,0,0,0,0,1,1,173,0,31,0,21,0,52,11,187,0,0,0,0,0,1,0,1,0,1
1/13/2023,January,4,4,0,0,5,0,0,0,0,1,177,1,32,0,21,1,53,6,193,0,0,0,0,1,2,1,2,1,2
1/14/2023,January,5,5,0,0,0,0,1,0,1,0,182,0,32,5,26,5,58,2,195,0,0,0,0,1,3,1,3,0,2
1/15/2023,January,9,5,4,0,10,1,1,0,1,0,187,2,34,0,26,2,60,17,212,0,0,0,0,0,3,0,3,1,3
1/16/2023,January,10,9,1,0,3,0,0,0,0,0,196,2,36,1,27,3,63,4,216,0,0,0,0,0,3,0,3,0,3
1/17/2023,January,6,5,1,0,5,1,0,0,0,0,201,0,36,0,27,0,63,7,223,0,0,0,0,0,3,0,3,0,3
1/18/2023,January,10,8,2,0,2,1,1,0,0,0,209,1,37,0,27,1,64,6,229,2,2,0,0,0,3,0,3,0,3
1/19/2023,January,12,6,6,1,3,0,0,0,0,0,215,0,37,0,27,0,64,10,239,0,2,0,0,0,3,0,3,0,3
1/20/2023,January,1,1,0,0,0,0,0,0,0,0,216,0,37,0,27,0,64,0,239,0,2,0,0,0,3,0,3,0,3
1/21/2023,January,9,9,0,0,2,0,0,0,0,0,225,0,37,2,29,2,66,2,241,1,3,0,0,0,3,0,3,0,3
1/22/2023,January,4,3,1,0,1,0,0,0,3,0,228,1,38,0,29,1,67,5,246,0,3,0,0,0,3,0,3,0,3
1/23/2023,January,9,6,3,1,3,0,0,0,2,0,234,0,38,2,31,2,69,9,255,0,3,0,0,0,3,0,3,0,3
1/24/2023,January,9,5,4,0,3,0,0,0,2,0,239,2,40,0,31,2,71,9,264,0,3,0,0,0,3,0,3,0,3
1/25/2023,January,7,6,1,0,2,0,1,0,2,0,245,1,41,1,32,2,73,6,270,0,3,0,0,0,3,0,3,0,3
1/26/2023,January,6,5,1,0,2,0,0,0,0,0,250,0,41,0,32,0,73,3,273,0,3,0,0,0,3,0,3,0,3
1/27/2023,January,2,2,0,0,0,0,0,0,0,0,252,0,41,0,32,0,73,0,273,0,3,0,0,0,3,0,3,0,3
1/28/2023,January,3,3,0,0,1,0,0,0,2,0,255,0,41,1,33,1,74,3,276,0,3,0,0,0,3,0,3,0,3
