Date,Location,Cases,Latitude,Longitude,Population,PD,URR,DFD,MaxTemp,MinTemp,AvgTemp,MT,Rainfall,MR,RH,ARH
1/1/2023,Dhaka,21,23.77007734,90.34273457,44215107,2156,0.88,0,24.4,14,17.9125,19.06209677,0,0,81.375,72.71774194
1/2/2023,Dhaka,25,23.77007734,90.34273457,44215107,2156,0.88,0,26,14.7,19.1,,0,,71.75,
1/3/2023,Dhaka,23,23.77007734,90.34273457,44215107,2156,0.88,0,19.6,14.5,16.2375,,0,,87.875,
1/4/2023,Dhaka,27,23.77007734,90.34273457,44215107,2156,0.88,0,17,14.1,14.7875,,0,,91.25,
1/5/2023,Dhaka,25,23.77007734,90.34273457,44215107,2156,0.88,0,20.2,12.5,15.1875,,0,,86,
1/6/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,18.8,12,14.4875,,0,,89.625,
1/7/2023,Dhaka,14,23.77007734,90.34273457,44215107,2156,0.88,0,15.4,11.5,13.3375,,0,,93.625,
1/8/2023,Dhaka,7,23.77007734,90.34273457,44215107,2156,0.88,0,21.2,12.3,16.025,,0,,88,
1/9/2023,Dhaka,12,23.77007734,90.34273457,44215107,2156,0.88,0,28.5,13.2,19.8375,,0,,70.125,
1/10/2023,Dhaka,18,23.77007734,90.34273457,44215107,2156,0.88,0,28.2,15.3,20.975,,0,,59,
1/11/2023,Dhaka,14,23.77007734,90.34273457,44215107,2156,0.88,0,26,13.9,18.8375,,0,,54.875,
1/12/2023,Dhaka,16,23.77007734,90.34273457,44215107,2156,0.88,0,23.4,12,16.2875,,0,,71.5,
1/13/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,26.4,11.8,18.4875,,0,,70.625,
1/14/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,25.6,14.7,20.2375,,0,,85.875,
1/15/2023,Dhaka,9,23.77007734,90.34273457,44215107,2156,0.88,0,27.1,18,20.8375,,0,,65.125,
1/16/2023,Dhaka,10,23.77007734,90.34273457,44215107,2156,0.88,0,24,15.6,19.25,,0,,60.625,
1/17/2023,Dhaka,6,23.77007734,90.34273457,44215107,2156,0.88,0,23.8,14,18.7125,,0,,58.125,
1/18/2023,Dhaka,10,23.77007734,90.34273457,44215107,2156,0.88,0,23.4,14,17.9,,0,,63.875,
1/19/2023,Dhaka,12,23.77007734,90.34273457,44215107,2156,0.88,0,24,11.7,18.175,,0,,59.25,
1/20/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,25.1,12.4,18.875,,0,,65,
1/21/2023,Dhaka,9,23.77007734,90.34273457,44215107,2156,0.88,0,26.1,13,18.7375,,0,,66.75,
1/22/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,27.8,13.7,19.975,,0,,67.75,
1/23/2023,Dhaka,9,23.77007734,90.34273457,44215107,2156,0.88,0,27.5,15.2,20.9375,,0,,70.75,
1/24/2023,Dhaka,9,23.77007734,90.34273457,44215107,2156,0.88,0,28.7,16.2,21.3,,0,,69.25,
1/25/2023,Dhaka,7,23.77007734,90.34273457,44215107,2156,0.88,0,28.5,16.2,21.675,,0,,73.125,
1/26/2023,Dhaka,6,23.77007734,90.34273457,44215107,2156,0.88,0,28.7,17.6,22.325,,0,,75.625,
1/27/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,28.6,18.5,23,,0,,68.625,
1/28/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,28,18.6,22.375,,0,,72.375,
1/29/2023,Dhaka,8,23.77007734,90.34273457,44215107,2156,0.88,0,26.3,16.8,19.6625,,0,,78.25,
1/30/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,29.3,15.4,21.4,,0,,75,
1/31/2023,Dhaka,7,23.77007734,90.34273457,44215107,2156,0.88,0,29.6,16.9,24.05,,0,,63.25,
2/1/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,25.7,21,22.275,23.31383929,0,2.4,61.875,62.07589286
2/2/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,25.5,16.1,19.975,,0,,61,
2/3/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,27.1,15.2,20.7125,,0,,67.25,
2/4/2023,Dhaka,7,23.77007734,90.34273457,44215107,2156,0.88,0,26.5,16.8,20.6,,0,,66.625,
2/5/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,27,14.6,20.875,,0,,60.25,
2/6/2023,Dhaka,7,23.77007734,90.34273457,44215107,2156,0.88,0,27.2,14.9,20.525,,0,,65.875,
2/7/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,28.3,15.7,22.05,,0,,70.25,
2/8/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,28.7,18.3,22.7375,,0,,73.125,
2/9/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,28.5,18.3,23.2625,,0,,73.875,
2/10/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,29.5,17,22.3375,,0,,55.75,
2/11/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,30.5,16.2,23.9,,0,,59.875,
2/12/2023,Dhaka,6,23.77007734,90.34273457,44215107,2156,0.88,0,30,21.2,24.15,,0,,63,
2/13/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,28,16,21.925,,0,,32.25,
2/14/2023,Dhaka,6,23.77007734,90.34273457,44215107,2156,0.88,0,27.5,13.8,21.0625,,0,,40.375,
2/15/2023,Dhaka,6,23.77007734,90.34273457,44215107,2156,0.88,0,27.2,15.5,21.325,,0,,52.5,
2/16/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,28.2,15.6,21.875,,0,,58.375,
2/17/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,29.4,15.9,22.275,,0,,61.75,
2/18/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,30.1,17.8,23.9875,,0,,68.375,
2/19/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,29.5,20.2,24.475,,0,,72.75,
2/20/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,30.2,20,24.85,,0,,71.75,
2/21/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,29.9,21.5,25.4,,0,,75.375,
2/22/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,31,22,26.15,,0,,74.875,
2/23/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,33.3,23,26.775,,0,,67.875,
2/24/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,32.4,23.6,26.425,,2.4,,71.5,
2/25/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,32,20.5,25.25,,0,,55,
2/26/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,32.6,18.4,25.3125,,0,,53.75,
2/27/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,32.8,19.8,26.3625,,0,,56,
2/28/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,32.6,20,25.9375,,0,,46.875,
3/1/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,32.7,19.4,25.95,26.63427419,0,75.8,50.875,61.79032258
3/2/2023,Dhaka,6,23.77007734,90.34273457,44215107,2156,0.88,0,34.1,20,26.675,,0,,56.5,
3/3/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,34.2,20.7,26.7875,,0,,53.875,
3/4/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,33.7,20.7,27.05,,0,,55.75,
3/5/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,34,21.3,27.2,,0,,56.5,
3/6/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,32.7,21,27.075,,0,,52.125,
3/7/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,34.4,21,27.3,,0,,46,
3/8/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,32.7,20.7,27.5375,,0,,48.125,
3/9/2023,Dhaka,7,23.77007734,90.34273457,44215107,2156,0.88,0,33.5,22.8,27.575,,0,,48,
3/10/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,31.6,23,27.575,,0,,48,
3/11/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,33.7,22,27.3875,,0,,54,
3/12/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,34.9,23.4,28.375,,0,,48.75,
3/13/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,34.8,21.8,28.1875,,0,,48,
3/14/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,34.3,21.5,28.6125,,0,,51.75,
3/15/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,31.2,23.7,27.2,,2.2,,67.5,
3/16/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,31.4,24.2,27.675,,0,,68.75,
3/17/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,28.5,21.8,24.925,,0.7,,68.375,
3/18/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,32.5,21.9,27.0875,,0,,57.5,
3/19/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,24.7,23.2,22.775,,18.2,,87.625,
3/20/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,28.2,20.5,24.15,,0.4,,73.125,
3/21/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,30,21,24.6375,,0,,71.875,
3/22/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,31.3,20.8,25.9875,,0,,67.625,
3/23/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,32.6,22.6,26.65,,0,,65.5,
3/24/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,32.7,21.2,25.3,,19,,74.375,
3/25/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,32.4,21.3,25.9375,,2.2,,77.75,
3/26/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,33.6,22.4,26.9625,,0,,70.875,
3/27/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,32.5,23.2,27.35,,0,,62.875,
3/28/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,34.4,24.2,28.4,,0,,62.5,
3/29/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,29.7,24.5,25.225,,4.2,,78.625,
3/30/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,32.5,21.6,26.3125,,28.3,,70.75,
3/31/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,31.6,19.2,25.8,,0.6,,71.625,
4/1/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,28.8,19.9,24.425,30.18541667,15.6,32.2,78.75,55.95416667
4/2/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,32,22.2,26.75,,0.2,,68.5,
4/3/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,33.8,23.1,28.1875,,0,,54.875,
4/4/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,34,24.2,29.875,,0,,65.25,
4/5/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,34.7,26.4,29.525,,0,,70.75,
4/6/2023,Dhaka,8,23.77007734,90.34273457,44215107,2156,0.88,0,35.8,26.3,29.275,,0,,54,
4/7/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,36.5,24.9,29.4,,0,,50.375,
4/8/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,37.4,23.1,30.375,,0,,42.125,
4/9/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,37.7,24,30.8,,0,,38.125,
4/10/2023,Dhaka,7,23.77007734,90.34273457,44215107,2156,0.88,0,37.5,24.4,30.475,,0,,41.375,
4/11/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,38.5,25,31.2875,,0,,41,
4/12/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,38.9,24.2,31.8125,,0,,39.625,
4/13/2023,Dhaka,3,23.77007734,90.34273457,44215107,2156,0.88,0,39.5,25,32.6875,,0,,37.125,
4/14/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,40.2,26.2,33.1,,0,,43.5,
4/15/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,40.4,27.9,34.025,,0,,50.5,
4/16/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,40.6,28,33.95,,0,,47.875,
4/17/2023,Dhaka,2,23.77007734,90.34273457,44215107,2156,0.88,0,38.1,28.6,32.35,,0,,67.875,
4/18/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,37.1,28.3,32.35,,0,,66.125,
4/19/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,37.6,28,32.175,,0,,68,
4/20/2023,Dhaka,1,23.77007734,90.34273457,44215107,2156,0.88,0,37.3,28.6,32.125,,0,,68.625,
4/21/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,36,28.4,29.75,,0,,64.5,
4/22/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,36.2,23.4,29.5375,,1.4,,60.5,
4/23/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,30.3,23.2,26.3375,,0,,62.625,
4/24/2023,Dhaka,6,23.77007734,90.34273457,44215107,2156,0.88,0,35.1,21.5,28.1,,0,,56.5,
4/25/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,35.2,24.2,30.2375,,0,,49.875,
4/26/2023,Dhaka,5,23.77007734,90.34273457,44215107,2156,0.88,0,37.5,24.4,31.4375,,0,,43.875,
4/27/2023,Dhaka,11,23.77007734,90.34273457,44215107,2156,0.88,0,37.3,26.4,28.6875,,2.8,,59.125,
4/28/2023,Dhaka,0,23.77007734,90.34273457,44215107,2156,0.88,0,34.8,22.2,29.45,,0,,59.5,
4/29/2023,Dhaka,10,23.77007734,90.34273457,44215107,2156,0.88,0,36.6,24.8,27.875,,10.2,,68,
4/30/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,35.5,22,29.2,,2,,59.75,
5/1/2023,Dhaka,21,23.77007734,90.34273457,44215107,2156,0.88,0,34.1,24.5,28.3125,29.87379032,0,142,61.875,64.9233871
5/2/2023,Dhaka,20,23.77007734,90.34273457,44215107,2156,0.88,0,35.7,24,30.1,,0,,52.625,
5/3/2023,Dhaka,10,23.77007734,90.34273457,44215107,2156,0.88,0,34.8,27,28.05,,7.2,,72.375,
5/4/2023,Dhaka,8,23.77007734,90.34273457,44215107,2156,0.88,0,32.5,24.5,28.375,,0.6,,73.75,
5/5/2023,Dhaka,4,23.77007734,90.34273457,44215107,2156,0.88,0,35,25.1,29.8625,,0,,67.125,
5/6/2023,Dhaka,13,23.77007734,90.34273457,44215107,2156,0.88,0,37,25.4,30.3875,,11.8,,64.125,
5/7/2023,Dhaka,8,23.77007734,90.34273457,44215107,2156,0.88,0,37.7,25.4,32.45,,0,,59.75,
